codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_35,res_01090101,"4,00","5,00","5,00","8,00","6,00","0,00","0,00","8,00"
spec_29,res_01000801,"2,00","3,00","4,00","4,00","2,00","2,00","1,00","10,00"
spec_29,res_01090600,"5,00","4,00","5,00","4,00","4,00","3,00","2,00","22,00"
spec_29,res_01000802,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00"
spec_29,res_01090800,"2,00","2,00","2,00","2,00","2,00","2,00","1,00","8,00"
spec_29,res_01002603,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_29,res_01002601,"2,00","1,00","2,00","2,00","2,00","1,00","0,00","7,00"
spec_29,res_01000502,"4,00","6,00","4,00","3,00","4,00","3,00","2,00","19,00"
spec_29,res_01002604,"2,00","2,00","2,00","1,00","1,00","1,00","1,00","5,00"
spec_29,res_01000501,"1,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_29,res_01090101,"3,00","3,00","3,00","4,00","3,00","3,00","3,00","18,00"
spec_29,res_01090102,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_29,res_01008500,"3,00","5,00","5,00","4,00","5,00","4,00","2,00","22,00"
spec_29,res_01012001,"6,00","5,00","5,00","5,00","5,00","2,00","1,00","74,00"
spec_29,res_01012002,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_29,res_01012402,"2,00","3,00","2,00","2,00","2,00","2,00","1,00","6,00"
spec_29,res_01000901,"3,00","2,00","3,00","3,00","3,00","2,00","2,00","10,00"
spec_29,res_01000700,"2,00","2,00","2,00","2,00","3,00","2,00","1,00","9,00"
spec_29,res_01090501,"6,00","7,00","6,00","6,00","6,00","4,00","4,00","32,00"
spec_29,res_01012401,"1,00","0,00","0,00","1,00","0,00","0,00","0,00","2,00"
spec_29,res_01090701,"5,00","4,00","4,00","3,00","3,00","2,00","1,00","19,00"
spec_29,res_01001100,"5,00","5,00","6,00","4,00","5,00","2,00","2,00","18,00"
spec_29,res_01001700,"2,00","2,00","1,00","2,00","2,00","1,00","1,00","6,00"
spec_29,res_01001901,"3,00","3,00","2,00","4,00","6,00","2,00","3,00","12,00"
spec_29,res_01000403,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_29,res_01002301,"5,00","3,00","5,00","4,00","3,00","2,00","1,00","84,00"
spec_29,res_01003002,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_29,res_01003001,"4,00","5,00","6,00","3,00","3,00","3,00","2,00","24,00"
spec_29,res_01000401,"3,00","3,00","4,00","4,00","2,00","2,00","1,00","9,00"
spec_29,res_01002302,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_29,res_01000601,"5,00","3,00","3,00","4,00","3,00","2,00","2,00","17,00"
spec_29,res_01090201,"3,00","3,00","4,00","2,00","4,00","2,00","1,00","15,00"
spec_71,res_01000901,"3,00","2,00","2,00","3,00","2,00","1,00","1,00","8,00"
spec_71,res_01090600,"8,00","2,00","3,00","3,00","5,00","1,00","1,00","50,00"
